Day,MA Total,Barnstable,Berkshire,Bristol,Dukes and Nantucket,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester,Unknown
3-20,413,9,20,6,0,29,1,3,2,144,64,11,86,19,19
3-21,525,11,21,14,1,41,2,9,2,177,69,20,108,24,26
3-22,646,24,23,24,1,60,2,12,4,199,75,25,126,37,34
3-23,777,30,26,25,1,73,2,15,6,232,82,32,154,42,57
3-24,1159,40,37,31,2,118,5,24,8,304,129,64,234,73,90
3-25,1838,51,71,67,3,177,14,45,11,446,222,101,342,129,159
3-26,2417,67,73,90,3,247,16,55,17,538,292,138,448,166,267
3-27,3240,100,105,129,4,350,24,90,20,685,393,187,631,219,303
3-28,4257,133,119,179,8,472,39,183,30,842,490,272,843,291,356
3-29,4955,148,151,208,8,570,41,201,37,981,548,325,940,337,460
3-30,5752,173,162,263,8,653,49,255,46,1141,628,380,1115,390,489
3-31,6620,191,171,306,8,784,61,354,69,1340,738,459,1373,433,333
4-01,7738,255,183,366,11,885,72,475,81,1582,829,561,1624,563,251
4-02,8966,283,213,424,12,1039,85,546,102,1870,938,621,1896,667,270
4-03,10402,314,240,517,16,1238,89,661,114,2202,1045,745,2183,825,213
4-04,11736,330,253,601,16,1400,95,733,125,2468,1199,898,2429,915,274
4-05,12500,347,258,659,17,1506,100,768,128,2632,1271,963,2658,978,215
4-06,13837,383,268,722,17,1653,107,889,147,2950,1382,1067,2929,1077,246
4-07,15202,405,278,768,18,1841,118,997,158,3187,1592,1194,3245,1172,229
4-08,16790,423,281,835,17,2103,117,1081,164,3545,1778,1327,3600,1296,223
4-09,18941,444,304,994,18,2336,128,1276,177,4045,2007,1507,4041,1461,203
4-10,20974,464,329,1086,21,2670,135,1394,194,4447,2216,1677,4534,1678,129
4-11,22860,480,336,1191,21,2896,138,1545,204,4872,2395,1809,4926,1822,225
4-12,25475,501,350,1327,21,3170,143,1647,219,5660,2649,2024,5359,2032,373
4-13,26867,502,355,1394,21,3413,148,1694,224,5983,2838,2141,5579,2128,447
4-14,28163,514,360,1435,20,3594,155,1798,233,6254,2969,2207,5872,2246,506
4-15,29918,530,370,1508,20,3894,160,1885,239,6681,3122,2308,6279,2350,572
4-16,32181,550,382,1605,21,4245,170,1985,248,7206,3342,2466,6820,2503,638
4-17,34402,573,383,1659,21,4594,173,2134,258,7744,3499,2577,7272,2765,760
4-18,36372,590,385,1698,23,4914,177,2254,306,8297,3659,2688,7697,2952,733
4-19,38077,632,387,1731,23,5153,181,2337,317,8737,3789,2832,8074,3069,815
